idNumber,gdpPerCapitaUsd,healthcareAccessIndex,urbanizationRatePercent,sanitationCoveragePercent,populationDensityPerKm2,accessToCleanWaterPercent
130,27029,49.78,69.14,36.9,808,87.31
131,34254,94.56,83.25,25.57,606,53.44
132,36378,13.25,79.96,25.65,190,75.53
133,20456,0.95,15.56,66.87,950,78.54
134,58660,13.74,16.49,80.66,844,51.44
135,24182,17.07,57.82,75.17,738,99.68
136,96909,25.09,49.72,67.43,818,37.23
137,35868,81.51,33.43,36.87,165,40.99
138,48948,37.69,88.09,88.94,967,92.45
139,35437,84.08,69.7,70.31,869,38.34
140,18663,27.19,64.99,75.54,907,56.69
141,17640,86.05,24.51,37.91,849,81.32
142,34435,0.81,32.71,40.92,586,85.4
143,24237,93.45,58.4,92.6,926,96.83
144,35862,74.6,73.65,58.09,664,85.27
145,87750,41.27,84.48,64.31,960,89.12
146,3604,57.73,65.82,28.86,401,96.46
147,33673,93.3,43.49,51.57,369,68.76
148,2911,58.26,65.29,90.96,351,54.04
149,28103,22.86,15.53,92.01,752,83.31
150,98483,57.29,58.01,78.41,29,41.45
151,61931,87.14,81.57,63.65,342,34.78
152,90774,98.74,60.96,94.47,201,84.97
153,77039,58.41,10.6,89.75,355,96.55
154,13338,15.56,65.56,87.71,304,60.97
155,74358,77.18,68.12,90.54,144,41.28
156,85587,99.69,53.3,56.26,962,64.79
157,52352,47.36,75.29,62.04,212,57.53
158,76545,38.37,26.18,53.92,680,56.07
159,44411,55.25,42.72,79.21,683,73.97
160,57186,16.48,74.61,67.35,724,42.23
161,38150,97.13,58.3,25.58,97,56.63
162,93024,83.83,89.55,30.93,354,90.81
163,35201,11.3,15.54,35.39,572,81.08
164,85925,94.51,29.54,73.64,705,33.89
165,69015,94.28,25.93,28.78,874,65.97
166,67382,31.64,88.11,63.27,806,36.39
167,78028,61.91,79.54,87.27,259,97.02
168,68672,11.08,20.65,95.8,328,47.12
169,31427,8.42,38.3,54.26,734,95.28
170,64335,50.18,14.21,62.67,506,88.38
171,25120,4.97,60.61,86.52,298,68.6
172,846,87.49,36.5,94.86,310,53.54
173,46269,92.81,30.61,51.19,15,90.06
174,20677,6.73,51.85,48.24,558,40.69
175,16699,4.73,73.64,56.07,702,42.6
176,13434,22.14,42.31,40.3,267,45.73
177,64521,93,70.6,88.77,627,71.84
178,29529,76.9,45.69,45.46,231,52
179,71036,67.65,27.16,55.96,322,99.24
180,41519,77.63,45.7,45.6,357,43.66
181,19229,19.95,53.04,29.51,873,86.39
182,81819,25.66,46.93,68.53,638,36.71
183,69802,31.76,31.95,67.01,700,54.74
184,99251,60.51,24.81,43.59,100,47.06
185,31832,60.82,85.76,22.51,944,98.38
186,35683,20.86,33.8,94.94,671,31.8
187,46109,43.67,66.43,48.44,856,80.52
188,38416,69,37.26,63.1,180,47.34
189,3535,30.96,87.57,31.5,303,86.79
190,68360,7.55,89.06,40.09,201,51.79
191,89172,19.74,76.01,54.82,558,43.11
192,97458,16.47,56.52,64.98,109,78.51
193,30574,63.19,53.37,88.32,815,48.03
194,87346,6.85,36.32,43.23,848,63.99
195,61901,88.47,19.76,89.74,40,39.21
196,25113,8.44,16.32,56.68,821,80.72
197,59074,59.79,47.24,54.61,615,58.48
198,6325,92.95,88.3,51.71,791,39.84
199,41087,6.24,29.75,90.89,513,81.91
200,41748,38.31,42.88,40.08,107,37.24
201,89538,32.79,61.31,88.59,61,70.24
202,88032,34.42,38.09,27.13,484,72.52
203,41204,60.03,10.29,96.43,352,95.12
204,63188,26.21,41.7,60.24,972,40.57
205,14863,2.73,74.37,99.91,910,75.73
206,13489,96.23,85.52,68.63,819,56.65
207,48360,74.88,32.01,29.41,359,58.06
208,60225,13.51,83.73,24.87,528,65.13
209,38760,45.52,79.37,35.47,767,46.36
210,14638,6.27,42.54,53.69,27,62.28
211,39972,2.79,10.37,79.78,706,78.08
212,89888,4.75,77.59,20.06,239,62
213,99007,75.58,32.94,40.59,723,32.98
214,97657,44.49,70.47,67.01,565,48.05
215,22118,84.44,55.72,43.83,619,54.6
216,91655,30.52,27.73,48.56,966,54.83
217,46563,77.53,61.86,44.06,490,35.67
218,18504,7.79,71.19,96.25,584,61.47
219,52095,63.51,47.96,25.27,169,78.44
220,20720,36.06,69.83,92.6,872,33.41
221,53383,27.67,42.4,45.86,421,82.56
222,29524,81.51,88.42,39.72,397,96.86
223,18021,5.19,29.18,90.66,664,30.65
224,11253,94.95,72.23,42.97,11,43.56
225,74773,78.55,69.97,99,901,68.04
226,45837,35.56,52.36,63.85,160,45.26
227,91284,99.13,38.03,58.11,964,83.52
228,31825,20.25,45.66,98.12,544,51.85
229,25835,40.24,60.36,38.14,748,50.55
230,10036,88.49,52.43,92.72,356,30.06
231,31585,99.68,70.92,67.32,803,48.91
232,33787,23.91,38.85,80.4,762,45.24
233,8500,74.31,18.58,66.56,427,54.03
234,86625,30.57,50.45,69.49,662,40.34
235,81277,76.65,30.72,32.39,177,71.63
236,28691,12.53,59.33,32.13,637,46.71
237,98342,33.62,51.63,51.77,956,88.22
238,95660,7.5,72.3,47.71,19,49.92
239,13467,49.19,56.02,76.96,688,44.76
240,45074,70.15,44.46,77.82,611,33.97
241,13746,37.86,19.59,65.1,909,81.79
242,72503,61.47,19.61,52.16,347,65.57
243,14847,56.91,61.23,74.14,876,37.96
244,67858,29.46,80.46,74.99,120,45.49
245,84444,48.68,43.18,84.73,189,99.91
246,15882,6.9,52.46,84.94,986,86.42
247,67220,45.99,57.3,25.57,705,54.49
248,80635,45.82,48.18,49.92,420,67.98
249,82799,2.87,14.77,53.59,785,59.12
250,98532,51.39,57.13,87.75,190,32.55
251,80796,73.77,20.97,60.14,376,84.51
252,9307,45.23,54.46,59.1,534,80.19
253,33703,64.6,72.03,64.3,183,58.62
254,38285,53.24,10.44,30.18,95,89.21
255,52801,78.52,44.44,65.22,557,67.43
256,67583,51.45,69.66,64.12,692,34.56
257,54542,33.16,52.28,80.35,615,48.16
258,26210,82.76,28.82,70.73,940,62.32
259,64978,6.76,65.81,96.4,956,37.24
260,41911,28.95,72.68,26.41,72,69.98
261,16273,59.15,39,81.73,886,38.44
262,70391,85.6,33.79,80.12,589,44.04
263,81193,7.21,53.61,41.55,662,92.58
264,16210,9.61,39.23,75.88,440,99.99
265,56503,28.24,76.87,72.75,655,68.52
266,32071,34.46,72.32,43.9,667,73.38
267,95915,84.35,34.95,77.9,383,85.82
268,88738,95.89,46.56,94.45,273,78.73
269,1211,1.72,81.16,44.42,178,42.77
270,45149,1.54,21.79,98.41,326,58.82
271,22389,86.48,70.34,37.94,413,67.46
272,31804,13.56,35.34,30.77,222,55.18
273,7939,33.93,19.56,26.16,577,42.33
274,94409,27.52,19.36,37.09,643,81.53
275,93311,28.19,32.1,47.4,873,43.92
276,41626,32.86,53.85,78.65,907,48.23
277,39554,33.6,82.63,25.76,755,50.06
278,5088,62.02,34.24,60.58,971,41.32
279,84539,62.88,25.94,61.5,370,89.47
280,8011,52.29,48.29,38.24,681,72.74
281,60390,85.85,22.53,23.64,132,88.43
282,23174,84.57,31.74,38.01,31,64.56
283,57320,21.72,88.93,38.43,227,66.37
284,99912,54.36,54.64,75.04,562,73.13
285,51492,78.38,72.71,38.7,886,55.96
286,77166,86.69,26.94,47.22,403,64.76
287,19738,25.52,51.61,23.79,944,68.28
288,64833,49.41,50.84,69.92,566,96.75
289,85634,52.5,75.01,57.93,270,91.8
290,58734,69.96,11.73,47.6,533,39.05
291,42794,33.03,78.84,76.23,754,32.89
292,85860,29.35,16.37,74.57,242,77.62
293,71862,70.56,83.33,46.23,297,33.44
294,34987,39.93,21.43,76.75,507,34.22
295,68896,0.4,52.58,47.86,385,41.15
296,42430,93.78,17.95,37.76,945,54.62
297,44972,14.96,45.78,77.59,795,60.45
298,66102,14.86,33.94,78.24,723,66.36
299,24785,81.84,43.61,89.26,841,99.46
300,20729,33.55,53.6,60.08,96,56.97
301,25913,32.82,46.76,38.59,906,46.99
302,17810,62.24,11.85,86.95,894,70.27
303,69641,5.9,79.08,33.97,702,45.06
304,77613,23.7,17.6,95.09,179,95.84
305,25017,5.33,88.45,44.53,238,48.15
306,79275,29.15,78.11,21.5,603,99.3
307,99937,86.99,54.91,34.94,871,59.31
308,21886,90.93,29.62,53.18,220,86.89
309,27465,30.94,16.9,24.42,502,75.38
310,17711,18.76,63.75,52.76,687,95.34
311,63142,13.53,26.12,36.23,922,73.78
312,76954,39.44,68.66,21.52,967,70.69
313,60025,82.64,76.6,43.92,549,75.7
314,56670,85.27,89.12,38.1,31,85.05
315,71127,4.59,50.34,53.58,311,92.92
316,58441,20.92,87.97,80.72,815,48.68
317,98812,20.32,21.95,60.78,41,44.06
318,65952,82.84,76.9,81.45,320,32.4
319,50965,45.63,38.78,46.93,354,55.91
320,13763,36.84,39.18,21.05,889,89.23
321,67014,95.66,31.49,93.77,146,34.89
322,63611,92.54,23.87,45.18,493,67.7
323,20607,44.01,45.38,62.15,955,78.64
324,84510,12.83,88.98,57.54,521,88.58
325,11868,17.1,36.39,66.65,814,70.84
326,92459,11.21,46.89,90.8,586,43.04
327,85522,68.05,28.28,89.38,870,97.52
328,20637,55.47,36.97,98.48,600,36.63
329,7430,55.66,14.41,62.27,437,83.83
330,35056,9.84,86.48,93.8,325,36.06
331,83662,79.33,50.78,58.6,776,40.04
332,10699,53.56,68.64,23.55,934,92.88
333,41572,9.1,51.06,31.7,862,82.72
334,48335,74.71,71.62,46.72,72,55.59
335,37034,98.13,52.73,78.04,597,74.71
336,52983,44.12,66.12,26.51,291,62.01
337,6655,11.57,64.78,48.92,822,34.66
338,12234,10.14,52.69,98.59,872,80.48
339,67399,2.59,28.45,82.85,44,83.43
340,11611,77.04,26.95,65.76,599,91.76
341,94607,69.4,79.94,24.94,384,67.84
342,43753,58.42,19.65,21.17,272,77.12
343,48877,76.56,54.74,28.42,972,60.66
344,39920,99.93,50.2,46.17,62,52.32
345,12651,40.18,73.87,68.51,818,58.82
346,16751,70.58,20.83,35.8,525,93.82
347,71668,37.72,64.98,24.09,523,41.49
348,3932,35.21,58.47,27.27,300,47.39
349,16574,85.09,66.1,54.14,938,72.43
350,96799,57.48,59.7,81.85,494,38.14
351,38706,12.06,55,85.69,882,92.43
352,15442,40.35,84.1,43.28,443,33.31
353,81689,79.66,37.89,73.08,662,82.87
354,23536,94,24.78,51.42,124,56.16
355,6393,61.44,73.63,97.8,124,33.58
356,18233,39.42,20.38,52.4,784,89
357,95984,25.2,64.38,51.67,133,74.83
358,66343,42.2,53.96,60.13,771,30.62
359,10038,56.57,10.1,22.04,304,48.73
360,14419,0.44,29.19,53.43,888,54.64
361,91478,26.87,49.67,86.3,612,52.58
362,56707,67.15,36.38,68.97,570,64.88
363,8309,67.32,44.15,97.55,396,66.88
364,64023,65.3,58.1,46.05,282,57.77
365,46266,94.99,68.47,32.92,674,53.22
366,30486,56.85,22.1,80.05,391,65.31
367,24593,26.97,32.63,23.49,231,32.35
368,32160,81.16,60.92,32.76,151,75.16
369,41377,38.94,57.08,60.56,230,72.42
370,42972,23.93,68.95,80.28,782,49.55
371,81332,55.67,61.24,68.08,208,42.57
372,2783,28.9,36.41,99.59,92,35.11
373,31580,39.62,49.94,72.4,938,71.11
374,25018,69.32,80.78,78,222,69.82
375,20662,99.59,24.89,99.51,512,67.33
376,25943,64.47,40.14,67.4,316,98.99
377,1882,27.65,77.34,77.17,734,67.21
378,86034,9.05,39.14,43.87,387,80.53
379,93474,36.2,42.98,62.94,282,37.9
380,89515,1.93,35.54,92.96,647,50.93
381,75211,46.48,81.96,88.27,992,49.28
382,60249,66,63.07,44.5,70,70.32
383,25193,51.18,26.7,48.58,356,53.16
384,35794,86.53,69.97,87.71,40,74.87
385,48280,49.41,13.08,42.77,536,78.31
386,60004,46.24,41.71,91.01,369,32.36
387,91830,30.97,82.78,81.9,561,74.78
388,90239,83.76,65.18,32.19,330,38.18
389,83463,90.36,73.45,77.58,285,62.56
390,32529,97.79,84.51,86.75,754,80.86
391,84925,98.12,71.96,31.55,427,79.23
392,45274,98.04,17.09,56.59,842,50.99
393,77747,71.2,28.45,89.01,809,49.07
394,24642,56.27,50,35.89,249,60.82
395,69192,17.23,11.11,55.93,159,43.21
396,82995,76.71,59.97,69.02,71,98.23
397,28421,73.49,62.58,27.78,742,54.14
398,11539,84.24,65.72,36.96,438,94.61
399,99206,46.25,54.46,57.34,260,93.58
400,74480,89.24,46.19,49.89,20,55.54
401,2129,71.87,78.44,45.98,426,47.79
402,24852,17.11,71.39,22.11,559,83.96
403,48992,20.69,58.99,94.23,586,46.06
404,21707,81.43,13.68,89.71,200,66.49
405,12023,42.57,65.51,51.41,559,37.75
406,30629,24.9,54.65,34.51,776,57.02
407,70079,42.26,65.48,25.52,466,35.47
408,35927,16.14,34.91,29.86,278,49.84
409,71277,89.17,72.16,68.16,953,76.57
410,16503,7.15,43.43,78.71,510,99.39
411,47096,35.32,81.56,32.51,253,47.84
412,4316,55.69,18.32,29.02,289,63.13
413,19610,87.36,48.76,75.29,813,61.36
414,66604,78.15,26.46,61.36,157,42.89
415,46098,2.24,46.28,49.75,564,72.7
416,62458,82.52,38.3,78,118,80.73
417,63999,63.81,74.27,56.45,450,40.31
418,4605,13.33,23.37,57.21,458,83
419,70090,61.75,57.9,21.26,965,79.01
420,93298,81.79,42.52,45.28,108,43.81
421,90297,60.21,51.45,20.4,564,75.43
422,20882,99.91,67.15,93.91,861,57.56
423,98940,50.7,38.57,43.52,113,77.68
424,21670,67.31,39.36,34.44,202,64.73
425,30795,7.04,16.14,27.27,636,33.37
426,92035,81.32,54.16,23.73,55,85.09
427,97198,62.41,43.35,90.88,583,68.89
428,51117,56.12,74.98,33.48,635,80.74
429,38039,70.88,45.14,69.4,207,38.83
430,18420,56.05,87.66,72.1,773,80.49
431,35592,76.65,23.74,45.4,114,58.96
432,42839,58.35,31.36,86.66,931,85.95
433,75160,52.01,41.35,37.12,38,71.94
434,12537,13.5,23.63,25.72,178,54.84
435,73296,47.18,87.79,25.48,536,44.13
436,40052,53.82,61.28,44.03,643,87.11
437,14946,62.46,10.9,57.06,878,69.21
438,75295,45.59,56.28,70.35,540,99.12
439,28014,14.66,72.5,78.3,897,56.14
440,82630,15.04,14.1,34.3,466,78
441,11082,72.1,56.23,74.71,498,73.6
442,57178,66.14,39.94,34.6,452,74.63
443,48958,25.95,56.52,99.78,346,81.59
444,93418,44.59,30.21,96.73,617,39.74
445,90843,30.7,63.28,28.19,805,68.48
446,17687,18.1,63.71,72.41,408,65.64
447,59037,32.62,53.16,92.26,195,53.98
448,61319,26.27,83.9,26.46,574,60.53
449,84987,8.24,82.76,29.92,307,66.32
450,19031,50.45,13.8,47.76,933,52.46
451,39664,45.09,33.19,27.66,850,50.52
452,60199,71.46,39.14,90.85,612,81.68
453,81165,62.03,14.42,90.04,540,34.68
454,77078,34.34,51.89,95.9,464,51.91
455,67759,49.63,11.97,36.4,482,75.76
456,50798,53.61,64.25,23.63,999,44.61
457,81631,91.75,10.22,55.57,86,70.06
458,88784,98.17,12.55,90.44,651,51.15
459,91443,81.55,76.7,71.08,667,89.03
460,28837,56.21,30.21,99.87,254,54.5
461,74630,92.81,16.5,92.45,433,46.07
462,88734,17.81,41.96,51.42,702,67.11
463,38863,69.65,14.08,23.16,145,39.5
464,75845,46.05,70.03,20.41,733,85.82
465,94721,14.47,49.53,71.54,146,77.6
466,49630,7.52,54.15,93.26,214,83.94
467,769,48.07,70.24,55.54,893,57.92
468,79401,23.9,72.76,89.94,670,88.45
469,57232,25.05,20.9,65.34,869,64.55
470,83574,32.02,32.42,27.84,565,36.63
471,56667,71.84,24.05,83.87,69,45.68
472,96504,16.41,14.32,59.41,848,79.77
473,24784,71.76,53,24.09,258,92.75
474,33244,78.27,29.98,85.17,424,36.66
475,22520,59.45,22.32,80.61,894,90.5
476,7272,24.76,50.81,56.58,647,85.93
477,52403,5.15,60.72,21.56,992,54.96
478,39326,40.79,71.77,47.75,406,78.25
479,70558,84.74,11.4,54.8,54,43.09
480,2663,10.19,52.1,33.23,11,86.94
481,51935,74.48,31.37,32.87,171,76.01
482,55808,46.79,89.33,33.36,206,60.72
483,81613,89.88,22.55,49.65,715,90.52
484,4663,35.62,45.03,85.4,839,39.75
485,44250,70.47,87.6,80.75,568,89.2
486,15672,74.01,27.05,20.81,235,31.67
487,37754,19.87,74.55,20.77,11,82.72
488,59995,15.81,29.44,26.22,221,70.14
489,80331,9.27,16.02,57.33,977,78.77
490,79773,70.16,13.42,91.11,736,58.86
491,11353,54.82,85.9,34.58,302,90.51
492,58616,8.67,27.03,58.14,89,51.92
493,43426,30.83,33.36,23.26,128,49.25
494,92963,14.23,87.35,21.63,607,51.12
495,84846,9.27,62.59,20.6,840,84.21
496,16597,29.88,49.05,78.93,577,64.67
497,65359,9.63,44.83,21.91,951,67.6
498,52898,26.02,13.89,41.91,584,88.22
499,87931,55.27,77.12,71.6,17,88.34
500,37451,56.09,70.96,69.49,704,41.32
501,27753,16.8,17.26,24.41,894,68.48
502,80000,19.1,38.28,40.53,244,38.82
503,78948,85.5,80.83,71.15,436,90.8
504,63874,16.69,28.92,51.38,611,88.59
505,41446,4.57,58.9,57.27,625,89.45
506,77152,24.48,49.03,36.57,288,79.34
507,37160,57.64,75.48,23.02,921,62.68
508,52431,0.72,12.88,47.62,862,58.33
509,72635,98.5,75.29,74.64,771,57.67
510,9146,23.04,20.86,81.32,649,34.63
511,53286,23.81,11.21,67.4,369,96.42
512,23538,73.86,57.64,51.46,189,61.52
513,20130,24.82,30.69,66.65,614,95.11
514,79258,39.62,66.74,76.4,703,91.55
515,4804,54.39,47.58,80.42,221,88
516,57448,2.19,58.44,27.56,725,71.18
517,98725,83.73,65.18,84.24,558,37.11
518,22507,51.21,84.15,25.08,227,52.67
519,54991,31.29,75.85,89.64,460,72.25
520,15130,39.98,49.61,51.38,155,30.94
521,34989,5.58,45.04,63.75,68,32.98
522,84446,71.8,62.37,43.2,650,77.44
523,56301,53.95,68.68,54.13,412,92.17
524,47568,91.4,23.81,87.62,662,89.86
525,18034,46.42,12.6,43.66,500,41.77
526,53864,82.84,46.37,65.13,42,93.79
527,34697,18.83,17.96,71.77,999,78.74
528,66684,5.65,31.82,31.71,543,80.14
529,57587,94.84,56.78,82.23,420,51.28
530,33623,25.7,22.12,99.93,443,80.12
531,3323,83.36,12.28,32.4,380,79.68
532,8657,25.73,54.37,81.43,726,71.63
533,16081,15.58,47.3,31.77,593,55.01
534,28461,73.25,34.5,96.02,190,86.77
535,38537,77.84,47.5,52.88,709,95.63
536,23263,84.36,64.68,98.39,59,90.89
537,69970,86.49,18.72,25.43,331,47.01
538,59035,48.31,30.46,83.28,508,61.2
539,22498,40.02,73.6,57.87,92,53.97
540,7585,75.1,63.61,43.16,545,79.52
541,62008,56.94,31.3,79.83,78,88.2
542,47300,96.53,41.85,70.83,17,45.11
543,82686,37.58,19.58,92.23,925,96.31
544,73353,4.29,30.25,39.9,770,77.41
545,95522,58.93,77.29,95.18,108,45.29
546,18764,35.35,45.23,71.35,843,55.98
547,83968,34.27,61.22,56.03,719,37.32
548,33649,56.45,22.78,24.25,836,71.79
549,34903,92.18,24.66,81.21,217,41.84
550,62313,26.7,85.27,88.67,824,78.52
551,58528,37.96,77.31,84.77,941,81.61
552,10976,89.12,73.23,78.85,907,63.55
553,45118,89.52,36.37,97.55,201,36.57
554,60216,23.46,55.02,87.93,983,72.76
555,65900,70.63,49.39,94.23,943,56.05
556,7917,41.56,86.5,78.44,381,96.48
557,68673,93.6,29.17,85.62,35,65.92
558,48393,73.22,85.78,43.13,516,35.06
559,6070,49.44,66.55,73.51,157,74.52
560,87269,81.74,43.1,36.44,870,84.55
561,39318,99.79,31.31,25.54,387,41.24
562,26521,44.7,70.59,66.34,525,61.43
563,22829,37.35,75.83,82.63,989,82.02
564,33179,60.7,38.6,26.62,993,31.43
565,63179,68.31,23.75,34.5,74,32.03
566,49672,70.44,49.38,27.44,738,77.38
567,78628,47.36,47.48,70.73,919,80.76
568,94036,33.23,68.03,26.36,812,89.21
569,13391,82.19,87.85,27.46,638,57.97
570,99813,95.83,52.5,41.13,606,57.28
571,46000,86.4,68.54,41.62,829,68.67
572,8279,68.24,38.05,64.6,288,83.01
573,47869,36.02,57.97,22.57,375,74.87
574,40408,62.25,19.23,69.23,797,52.91
575,54939,10.12,75.19,52.94,867,54.26
576,58925,53.39,37.55,34.3,508,83.41
577,19532,78.12,16.4,72.27,804,67.43
578,63648,25.11,89.24,46.37,178,36.86
579,73860,50.15,82.14,86.2,471,40.71
580,15468,7.33,25.79,99.15,429,89.58
581,54504,83.85,39.06,82.32,909,99.92
582,45879,35.02,84.94,79.44,547,53.5
583,49512,58.22,73.71,48.41,885,57.07
584,30257,37.85,82.51,62.77,49,40.81
585,47692,59.76,55,24.21,517,46.5
586,81053,74.42,29.45,78.19,729,59.72
587,28832,32.68,28.16,74,372,49.91
588,63039,51.93,52.05,41.55,496,79.1
589,52104,79.49,83.92,62.73,93,67.65
590,7008,68.79,60.53,74.35,247,87.56
591,61838,5.71,12.75,49.43,353,80.72
592,45427,56.88,54.84,78.05,467,38.97
593,12433,37.63,58.68,83.74,715,38.64
594,12605,70.88,56.52,37.88,518,92.7
595,45256,1.67,65.29,44.1,850,87.37
596,25460,33.06,33.48,52.13,347,62.75
597,53756,8.65,21.5,38.85,883,39.13
598,44022,92.05,70,82.05,871,92.9
599,8036,87.65,25.71,65.75,780,46.15
600,23336,96.81,19.13,50.41,713,32.49
601,2717,64.35,38.75,21.28,806,94.7
602,82566,80.7,76.62,46.07,191,86.63
603,28665,61.19,16.57,86.92,16,78.54
604,84346,49.2,25.64,79.48,674,32.38
